term,weight
am,0.0016267253868293323
artarak,0.000623324680934604
sade,0.0003800760249601244
ki,0.0003648729839617194
hissetmiyor,0.0003579381257732741
is,0.00034966994296331446
şu,0.0003395345822977111
ilişk,0.00033446690196490945
ihraç,0.0003293992216321078
di,0.0003141961806337028
uzun,0.0002837900986368929
ulaş,0.00027872241830409125
verg,0.0002533840166400829
bayan,0.0002533840166400829
yükselerek,0.00024324865597447965
yöne,0.00024324865597447965
görev,0.00023818097564167796
12,0.00022804561497607467
bura,0.00022804561497607467
japon,0.000222977934643273
hâlâ,0.000222977934643273
günlük,0.00021791025431047131
hacim,0.00021791025431047131
amerika,0.00021791025431047131
artt,0.00021284257397766965
rapor,0.00020777489364486802
sermaye,0.00020777489364486802
pazar,0.00020777489364486802
dış,0.00020270721331206636
çalışan,0.00020270721331206636
dava,0.00020270721331206636
özel,0.00020270721331206636
gösteriyor,0.00019763953297926467
eylül,0.00019763953297926467
geniş,0.00019257185264646306
parça,0.00019257185264646306
yapmak,0.00019257185264646306
dav,0.00018750417231366137
yönet,0.00018750417231366137
japonya,0.00018750417231366137
aralık,0.0001824364919808597
sorun,0.0001824364919808597
kon,0.0001824364919808597
dünya,0.0001824364919808597
Weatherford,0.00017896906288663705
connecticut,0.00017896906288663705
diamond,0.00017896906288663705
tıp,0.00017896906288663705
cnn,0.00017896906288663705
pandora,0.00017896906288663705
1987nin,0.00017896906288663705
Quantumun,0.00017896906288663705
sevkiyat,0.00017896906288663705
shamrock,0.00017896906288663705
technology,0.00017896906288663705
lanto,0.00017896906288663705
addison,0.00017896906288663705
monsanto,0.00017896906288663705
50,0.00017736881164805808
fakat,0.00017736881164805808
avukat,0.00017736881164805808
eğer,0.00017736881164805808
20,0.00017230113131525641
ticaret,0.00017230113131525641
yardım,0.00017230113131525641
kuru,0.00016723345098245473
böyl,0.00016723345098245473
özellik,0.00016723345098245473
hamle,0.0001621657706496531
yardımç,0.0001570980903168514
ortala,0.00015203040998404977
beş,0.00015203040998404977
hat,0.00015203040998404977
bakım,0.0001469627296512481
böl,0.0001469627296512481
mahkeme,0.0001469627296512481
olmadık,0.0001469627296512481
kalma,0.00014189504931844644
getiri,0.00014189504931844644
elin,0.00014189504931844644
hâle,0.00014189504931844644
yerel,0.00014189504931844644
depre,0.00014189504931844644
şimdi,0.00014189504931844644
güç,0.00013682736898564478
m,0.00013682736898564478
oyun,0.00013682736898564478
savaş,0.00013682736898564478
araba,0.00013682736898564478
karşı,0.00013682736898564478
yönetiç,0.00013682736898564478
ortak,0.00013682736898564478
cevap,0.00013682736898564478
içeri,0.00013175968865284312
makine,0.00013175968865284312
garanti,0.00013175968865284312
mal,0.00013175968865284312
bütün,0.00012669200832004146
olmuş,0.00012669200832004146
sıra,0.00012669200832004146
sigor,0.00012669200832004146
miktar,0.00012669200832004146
muhtemelen,0.00012669200832004146
telefon,0.00012162432798723983
ettik,0.00012162432798723983
kağıt,0.00012162432798723983
bırak,0.00011655664765443815
kürtaj,0.00011655664765443815
dok,0.00011655664765443815
dört,0.00011655664765443815
fiil,0.00011655664765443815
aktif,0.00011655664765443815
hafif,0.00011655664765443815
yardımcı,0.00011655664765443815
32,0.00011655664765443815
elektronik,0.0001114889673216365
ikis,0.0001114889673216365
bina,0.0001114889673216365
yaşa,0.0001114889673216365
analizç,0.0001114889673216365
kanu,0.00010642128698883483
kurul,0.00010642128698883483
23,0.00010642128698883483
rekabet,0.00010642128698883483
kalt,0.00010642128698883483
sal,0.00010642128698883483
int,0.00010642128698883483
engel,0.00010642128698883483
azın,0.00010642128698883483
american,0.00010135360665603318
yön,0.00010135360665603318
takip,0.00010135360665603318
lider,0.00010135360665603318
tokyo,0.00010135360665603318
belk,0.00010135360665603318
t,0.00010135360665603318
gerçekleş,0.00010135360665603318
karışık,0.00010135360665603318
yasa,0.00010135360665603318
danışman,0.00010135360665603318
ş,9.628592632323153e-05
ual,9.628592632323153e-05
r,9.628592632323153e-05
kongre,9.628592632323153e-05
itibari,9.628592632323153e-05
yargıç,9.628592632323153e-05
esk,9.628592632323153e-05
lehman,9.628592632323153e-05
yet,9.628592632323153e-05
8e,9.628592632323153e-05
kapsam,9.628592632323153e-05
bölge,9.628592632323153e-05
sigorta,9.628592632323153e-05
çocuk,9.628592632323153e-05
kayıt,9.628592632323153e-05
ora,9.628592632323153e-05
yapıl,9.628592632323153e-05
olmayan,9.628592632323153e-05
aracılık,9.628592632323153e-05
alım,9.628592632323153e-05
24,9.628592632323153e-05
19,9.628592632323153e-05
36,9.121824599042986e-05
verdik,9.121824599042986e-05
parti,9.121824599042986e-05
verme,9.121824599042986e-05
hukuk,9.121824599042986e-05
veriç,9.121824599042986e-05
duruyor,9.121824599042986e-05
şehir,9.121824599042986e-05
300,9.121824599042986e-05
shearson,9.121824599042986e-05
marka,9.121824599042986e-05
soru,9.121824599042986e-05
polonya,9.121824599042986e-05
karşılık,9.121824599042986e-05
tahliye,8.948453144331852e-05
ko,8.948453144331852e-05
avis,8.948453144331852e-05
vihon,8.948453144331852e-05
dişçilik,8.948453144331852e-05
çarpıyor,8.948453144331852e-05
imitasyon,8.948453144331852e-05
salıver,8.948453144331852e-05
duraklama,8.948453144331852e-05
sarf,8.948453144331852e-05
suçsuzluk,8.948453144331852e-05
44ü,8.948453144331852e-05
konsantre,8.948453144331852e-05
kuşkus,8.948453144331852e-05
mukte,8.948453144331852e-05
yaşlandıkç,8.948453144331852e-05
tartışıyor,8.948453144331852e-05
kavrayış,8.948453144331852e-05
dynabook,8.948453144331852e-05
yirmi,8.948453144331852e-05
1970ten,8.948453144331852e-05
144,8.948453144331852e-05
phoenixe,8.948453144331852e-05
görülebilir,8.948453144331852e-05
cezbedebilecek,8.948453144331852e-05
dalt,8.948453144331852e-05
blockbuster,8.948453144331852e-05
yorumluyor,8.948453144331852e-05
atmayacak,8.948453144331852e-05
54ü,8.948453144331852e-05
halli,8.948453144331852e-05
fobi,8.948453144331852e-05
dayanan,8.948453144331852e-05
2200,8.948453144331852e-05
2569,8.948453144331852e-05
bellsout,8.948453144331852e-05
manipü,8.948453144331852e-05
sürdürülebilir,8.948453144331852e-05
lezz,8.948453144331852e-05
gereksinim,8.948453144331852e-05
dökünt,8.948453144331852e-05
iyimsel,8.948453144331852e-05
garzarel,8.948453144331852e-05
antori,8.948453144331852e-05
syms,8.948453144331852e-05
cnnin,8.948453144331852e-05
gelinen,8.948453144331852e-05
kartop,8.948453144331852e-05
nev,8.948453144331852e-05
phillip,8.948453144331852e-05
parsippany,8.948453144331852e-05
düzel,8.948453144331852e-05
ottawa,8.948453144331852e-05
cocom,8.948453144331852e-05
2850000,8.948453144331852e-05
gezinen,8.948453144331852e-05
plo,8.948453144331852e-05
estes,8.948453144331852e-05
pik,8.948453144331852e-05
teamül,8.948453144331852e-05
çanta,8.948453144331852e-05
kenneth,8.948453144331852e-05
40ı,8.948453144331852e-05
karakterizasyon,8.948453144331852e-05
yaşlanıyor,8.948453144331852e-05
fidelity,8.948453144331852e-05
uçan,8.948453144331852e-05
anita,8.948453144331852e-05
nötr,8.948453144331852e-05
1984,8.948453144331852e-05
uğratacak,8.948453144331852e-05
rtc,8.948453144331852e-05
lık,8.948453144331852e-05
iptalin,8.948453144331852e-05
budget,8.948453144331852e-05
274963,8.948453144331852e-05
fonlama,8.948453144331852e-05
broadcastinga,8.948453144331852e-05
davranan,8.948453144331852e-05
kalamaz,8.948453144331852e-05
merieux,8.948453144331852e-05
saldırıl,8.948453144331852e-05
talip,8.948453144331852e-05
doğrulan,8.948453144331852e-05
ancaki,8.948453144331852e-05
leon,8.948453144331852e-05
rhone,8.948453144331852e-05
etkileyen,8.948453144331852e-05
harryyi,8.948453144331852e-05
dinleyiç,8.948453144331852e-05
pratt,8.948453144331852e-05
sevecek,8.948453144331852e-05
lousian,8.948453144331852e-05
seyrettik,8.948453144331852e-05
isteks,8.948453144331852e-05
publications,8.948453144331852e-05
308,8.948453144331852e-05
düşmek,8.948453144331852e-05
poulenc,8.948453144331852e-05
uyk,8.948453144331852e-05
aldus,8.948453144331852e-05
northview,8.948453144331852e-05
yabancılık,8.948453144331852e-05
kırılgan,8.948453144331852e-05
andre,8.948453144331852e-05
raha,8.948453144331852e-05
kalabilecek,8.948453144331852e-05
propane,8.948453144331852e-05
uğramayacak,8.948453144331852e-05
